probe_id,gene_symbol,gene_title,entrez_gene_id,primary_gene_symbol
200019_s_at,FAU,"FAU, ubiquitin like and ribosomal protein S30 fusion",2197,FAU
200020_at,TARDBP,TAR DNA binding protein,23435,TARDBP
200021_at,CFL1,cofilin 1,1072,CFL1
200022_at,RPL18,ribosomal protein L18,6141,RPL18
200023_s_at,EIF3F,eukaryotic translation initiation factor 3 subunit F,8665,EIF3F
200024_at,RPS5,ribosomal protein S5,6193,RPS5
200025_s_at,RPL27,ribosomal protein L27,6155,RPL27
200026_at,RPL34,ribosomal protein L34,6164,RPL34
200027_at,NARS,asparaginyl-tRNA synthetase,4677,NARS
200028_s_at,STARD7,StAR related lipid transfer domain containing 7,56910,STARD7
200029_at,RPL19,ribosomal protein L19,6143,RPL19
200030_s_at,SLC25A3,solute carrier family 25 member 3,5250,SLC25A3
200031_s_at,SNORD35B///RPS11,"small nucleolar RNA, C/D box 35B///ribosomal protein S11",84546///6205,SNORD35B
200032_s_at,RPL9,ribosomal protein L9,6133,RPL9
200033_at,MIR5047///MIR3064///DDX5,microRNA 5047///microRNA 3064///DEAD-box helicase 5,100616408///100616387///1655,MIR5047
200034_s_at,RPL6,ribosomal protein L6,6128,RPL6
200035_at,CTDNEP1,CTD nuclear envelope phosphatase 1,23399,CTDNEP1
200036_s_at,RPL10A,ribosomal protein L10a,4736,RPL10A
200037_s_at,CBX3,chromobox 3,11335,CBX3
200038_s_at,RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17,"RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17",100526842///100124516///497661///26791///26790///6139,RPL17-C18orf32
200039_s_at,PSMB2,proteasome subunit beta 2,5690,PSMB2
200040_at,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",10657,KHDRBS1
200041_s_at,ATP6V1G2-DDX39B///SNORD84///DDX39B,"ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B",100532737///692199///7919,ATP6V1G2-DDX39B
200042_at,RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase",51493,RTCB
200043_at,ERH,enhancer of rudimentary homolog (Drosophila),2079,ERH
200044_at,GATC///SRSF9,glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9,283459///8683,GATC
200045_at,ABCF1,ATP binding cassette subfamily F member 1,23,ABCF1
200046_at,DAD1,defender against cell death 1,1603,DAD1
200047_s_at,YY1,YY1 transcription factor,7528,YY1
200048_s_at,JTB,jumping translocation breakpoint,10899,JTB
200049_at,KAT7,lysine acetyltransferase 7,11143,KAT7
200050_at,ZNF146,zinc finger protein 146,7705,ZNF146
200051_at,SART1,squamous cell carcinoma antigen recognized by T-cells 1,9092,SART1
200052_s_at,ILF2,interleukin enhancer binding factor 2,3608,ILF2
200053_at,SPAG7,sperm associated antigen 7,9552,SPAG7
200054_at,ZPR1,ZPR1 zinc finger,8882,ZPR1
200055_at,TAF10,TATA-box binding protein associated factor 10,6881,TAF10
200056_s_at,C1D,C1D nuclear receptor corepressor,10438,C1D
200057_s_at,NONO,"non-POU domain containing, octamer-binding",4841,NONO
200058_s_at,LOC101929240///SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200,101929240///23020,LOC101929240
200059_s_at,RHOA,ras homolog family member A,387,RHOA
200060_s_at,RNPS1,RNA binding protein with serine rich domain 1,10921,RNPS1
200061_s_at,RPS24,ribosomal protein S24,6229,RPS24
200062_s_at,RPL30,ribosomal protein L30,6156,RPL30
200063_s_at,NPM1,nucleophosmin,4869,NPM1
200064_at,HSP90AB1,heat shock protein 90 alpha family class B member 1,3326,HSP90AB1
200065_s_at,MIR3620///ARF1,microRNA 3620///ADP ribosylation factor 1,100500810///375,MIR3620
200066_at,IK,"IK cytokine, down-regulator of HLA II",3550,IK
200067_x_at,SNX3,sorting nexin 3,8724,SNX3
200068_s_at,CANX,calnexin,821,CANX
200069_at,SART3,squamous cell carcinoma antigen recognized by T-cells 3,9733,SART3
200070_at,CNPPD1,cyclin Pas1/PHO80 domain containing 1,27013,CNPPD1
200071_at,SMNDC1,survival motor neuron domain containing 1,10285,SMNDC1
200072_s_at,HNRNPM,heterogeneous nuclear ribonucleoprotein M,4670,HNRNPM
200073_s_at,HNRNPD,heterogeneous nuclear ribonucleoprotein D,3184,HNRNPD
200074_s_at,RPL14,ribosomal protein L14,9045,RPL14
200075_s_at,GUK1,guanylate kinase 1,2987,GUK1
200076_s_at,KXD1,KxDL motif containing 1,79036,KXD1
200077_s_at,OAZ1,ornithine decarboxylase antizyme 1,4946,OAZ1
200078_s_at,ATP6V0B,ATPase H+ transporting V0 subunit b,533,ATP6V0B
200079_s_at,KARS,lysyl-tRNA synthetase,3735,KARS
200080_s_at,H3F3AP4///H3F3B///H3F3A,"H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A",440926///3021///3020,H3F3AP4
200081_s_at,RPS6,ribosomal protein S6,6194,RPS6
200082_s_at,RPS7,ribosomal protein S7,6201,RPS7
200083_at,USP22,ubiquitin specific peptidase 22,23326,USP22
200084_at,C11orf58,chromosome 11 open reading frame 58,10944,C11orf58
200085_s_at,TCEB2,transcription elongation factor B subunit 2,6923,TCEB2
200086_s_at,COX4I1,cytochrome c oxidase subunit 4I1,1327,COX4I1
200087_s_at,TMED2,transmembrane p24 trafficking protein 2,10959,TMED2
200088_x_at,NBEAL1///RPL12,neurobeachin like 1///ribosomal protein L12,65065///6136,NBEAL1
200089_s_at,SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4,"small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4",595100///595099///595098///595097///6124,SNORD18C
200090_at,FNTA,"farnesyltransferase, CAAX box, alpha",2339,FNTA
200091_s_at,RPS25,ribosomal protein S25,6230,RPS25
200092_s_at,RPL37,ribosomal protein L37,6167,RPL37
200093_s_at,HINT1,histidine triad nucleotide binding protein 1,3094,HINT1
200094_s_at,EEF2,eukaryotic translation elongation factor 2,1938,EEF2
200095_x_at,RPS10,ribosomal protein S10,6204,RPS10
200096_s_at,ATP6V0E1,ATPase H+ transporting V0 subunit e1,8992,ATP6V0E1
200097_s_at,HNRNPK,heterogeneous nuclear ribonucleoprotein K,3190,HNRNPK
200098_s_at,ANAPC5,anaphase promoting complex subunit 5,51433,ANAPC5
200099_s_at,SNORD73A///RPS3A,"small nucleolar RNA, C/D box 73A///ribosomal protein S3A",8944///6189,SNORD73A
200593_s_at,HNRNPU,heterogeneous nuclear ribonucleoprotein U,3192,HNRNPU
200594_x_at,HNRNPU,heterogeneous nuclear ribonucleoprotein U,3192,HNRNPU
200595_s_at,EIF3A,eukaryotic translation initiation factor 3 subunit A,8661,EIF3A
200596_s_at,EIF3A,eukaryotic translation initiation factor 3 subunit A,8661,EIF3A
200597_at,EIF3A,eukaryotic translation initiation factor 3 subunit A,8661,EIF3A
200598_s_at,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1,100500842///7184,MIR3652
200599_s_at,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1,100500842///7184,MIR3652
200600_at,MSN,moesin,4478,MSN
200601_at,ACTN4,actinin alpha 4,81,ACTN4
200602_at,APP,amyloid beta precursor protein,351,APP
200603_at,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,5573,PRKAR1A
200604_s_at,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,5573,PRKAR1A
200605_s_at,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,5573,PRKAR1A
200606_at,DSP,desmoplakin,1832,DSP
200607_s_at,RAD21,RAD21 cohesin complex component,5885,RAD21
200608_s_at,RAD21,RAD21 cohesin complex component,5885,RAD21
200609_s_at,WDR1,WD repeat domain 1,9948,WDR1
200610_s_at,NCL,nucleolin,4691,NCL
200611_s_at,WDR1,WD repeat domain 1,9948,WDR1
200612_s_at,AP2B1,adaptor related protein complex 2 beta 1 subunit,163,AP2B1
200613_at,AP2M1,adaptor related protein complex 2 mu 1 subunit,1173,AP2M1
200614_at,CLTC,clathrin heavy chain,1213,CLTC
200615_s_at,AP2B1,adaptor related protein complex 2 beta 1 subunit,163,AP2B1
200616_s_at,MLEC,malectin,9761,MLEC
200617_at,MLEC,malectin,9761,MLEC
200618_at,LASP1,LIM and SH3 protein 1,3927,LASP1
200619_at,SF3B2,splicing factor 3b subunit 2,10992,SF3B2
200620_at,TMEM59,transmembrane protein 59,9528,TMEM59
200621_at,CSRP1,cysteine and glycine rich protein 1,1465,CSRP1
200622_x_at,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,808///805///801,CALM3
200623_s_at,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,808///805///801,CALM3
200624_s_at,SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3,724102///9782,SNHG4
200625_s_at,CAP1,adenylate cyclase associated protein 1,10487,CAP1
200626_s_at,SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3,724102///9782,SNHG4
200627_at,PTGES3,prostaglandin E synthase 3,10728,PTGES3
200628_s_at,WARS,tryptophanyl-tRNA synthetase,7453,WARS
200629_at,WARS,tryptophanyl-tRNA synthetase,7453,WARS
200630_x_at,SETSIP///SET,SET-like protein///SET nuclear proto-oncogene,646817///6418,SETSIP
200631_s_at,SETSIP///SET,SET-like protein///SET nuclear proto-oncogene,646817///6418,SETSIP
200632_s_at,NDRG1,N-myc downstream regulated 1,10397,NDRG1
200633_at,UBB,ubiquitin B,7314,UBB
200634_at,PFN1,profilin 1,5216,PFN1
200635_s_at,PTPRF,"protein tyrosine phosphatase, receptor type F",5792,PTPRF
200636_s_at,PTPRF,"protein tyrosine phosphatase, receptor type F",5792,PTPRF
200637_s_at,PTPRF,"protein tyrosine phosphatase, receptor type F",5792,PTPRF
200638_s_at,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7534,YWHAZ
200639_s_at,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7534,YWHAZ
200640_at,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7534,YWHAZ
200641_s_at,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7534,YWHAZ
200642_at,SOD1,"superoxide dismutase 1, soluble",6647,SOD1
200643_at,HDLBP,high density lipoprotein binding protein,3069,HDLBP
200644_at,MARCKSL1,MARCKS like 1,65108,MARCKSL1
200645_at,GABARAP,GABA type A receptor-associated protein,11337,GABARAP
200646_s_at,NUCB1,nucleobindin 1,4924,NUCB1
200647_x_at,EIF3CL///EIF3C,eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C,728689///8663,EIF3CL
200648_s_at,GLUL,glutamate-ammonia ligase,2752,GLUL
200649_at,NUCB1,nucleobindin 1,4924,NUCB1
200650_s_at,LDHA,lactate dehydrogenase A,3939,LDHA
200651_at,SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1",619571///619570///10399,SNORD96A
200652_at,SSR2,signal sequence receptor subunit 2,6746,SSR2
200653_s_at,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,808///805///801,CALM3
200654_at,P4HB,prolyl 4-hydroxylase subunit beta,5034,P4HB
200655_s_at,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,808///805///801,CALM3
200656_s_at,P4HB,prolyl 4-hydroxylase subunit beta,5034,P4HB
200657_at,SLC25A5,solute carrier family 25 member 5,292,SLC25A5
200658_s_at,PHB,prohibitin,5245,PHB
200659_s_at,PHB,prohibitin,5245,PHB
200660_at,S100A11,S100 calcium binding protein A11,6282,S100A11
200661_at,CTSA,cathepsin A,5476,CTSA
200662_s_at,TOMM20,translocase of outer mitochondrial membrane 20,9804,TOMM20
200663_at,CD63,CD63 molecule,967,CD63
200664_s_at,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337,DNAJB1
200665_s_at,SPARC,secreted protein acidic and cysteine rich,6678,SPARC
200666_s_at,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337,DNAJB1
200667_at,UBE2D3,ubiquitin conjugating enzyme E2 D3,7323,UBE2D3
200668_s_at,UBE2D3,ubiquitin conjugating enzyme E2 D3,7323,UBE2D3
200669_s_at,UBE2D3,ubiquitin conjugating enzyme E2 D3,7323,UBE2D3
200670_at,XBP1,X-box binding protein 1,7494,XBP1
200671_s_at,SPTBN1,"spectrin beta, non-erythrocytic 1",6711,SPTBN1
200672_x_at,SPTBN1,"spectrin beta, non-erythrocytic 1",6711,SPTBN1
200673_at,LAPTM4A,lysosomal protein transmembrane 4 alpha,9741,LAPTM4A
200674_s_at,RPL32,ribosomal protein L32,6161,RPL32
200675_at,CD81,CD81 molecule,975,CD81
200676_s_at,UBE2L3,ubiquitin conjugating enzyme E2 L3,7332,UBE2L3
200677_at,PTTG1IP,pituitary tumor-transforming 1 interacting protein,754,PTTG1IP
200678_x_at,GRN,granulin,2896,GRN
200679_x_at,HMGB1,high mobility group box 1,3146,HMGB1
200680_x_at,HMGB1,high mobility group box 1,3146,HMGB1
200681_at,GLO1,glyoxalase I,2739,GLO1
200682_s_at,UBE2L3,ubiquitin conjugating enzyme E2 L3,7332,UBE2L3
200683_s_at,UBE2L3,ubiquitin conjugating enzyme E2 L3,7332,UBE2L3
200684_s_at,UBE2L3,ubiquitin conjugating enzyme E2 L3,7332,UBE2L3
200685_at,SRSF11,serine and arginine rich splicing factor 11,9295,SRSF11
200686_s_at,SRSF11,serine and arginine rich splicing factor 11,9295,SRSF11
200687_s_at,SF3B3,splicing factor 3b subunit 3,23450,SF3B3
200688_at,SF3B3,splicing factor 3b subunit 3,23450,SF3B3
200689_x_at,MIR3654///EEF1G,microRNA 3654///eukaryotic translation elongation factor 1 gamma,100500804///1937,MIR3654
200690_at,HSPA9,heat shock protein family A (Hsp70) member 9,3313,HSPA9
200691_s_at,HSPA9,heat shock protein family A (Hsp70) member 9,3313,HSPA9
200692_s_at,HSPA9,heat shock protein family A (Hsp70) member 9,3313,HSPA9
200693_at,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,10971,YWHAQ
200694_s_at,DDX24,DEAD-box helicase 24,57062,DDX24
200695_at,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,5518,PPP2R1A
200696_s_at,GSN,gelsolin,2934,GSN
200697_at,HK1,hexokinase 1,3098,HK1
200698_at,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,11014,KDELR2
200699_at,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,11014,KDELR2
200700_s_at,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,11014,KDELR2
200701_at,NPC2,NPC intracellular cholesterol transporter 2,10577,NPC2
200702_s_at,DDX24,DEAD-box helicase 24,57062,DDX24
200703_at,DYNLL1,dynein light chain LC8-type 1,8655,DYNLL1
200704_at,LITAF,lipopolysaccharide induced TNF factor,9516,LITAF
200705_s_at,SNORA41///EEF1B2,"small nucleolar RNA, H/ACA box 41///eukaryotic translation elongation factor 1 beta 2",619569///1933,SNORA41
200706_s_at,LITAF,lipopolysaccharide induced TNF factor,9516,LITAF
200707_at,PRKCSH,protein kinase C substrate 80K-H,5589,PRKCSH
200708_at,GOT2,glutamic-oxaloacetic transaminase 2,2806,GOT2
200709_at,LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A,101929368///2280,LOC101929368
200710_at,ACADVL,"acyl-CoA dehydrogenase, very long chain",37,ACADVL
200711_s_at,SKP1,S-phase kinase-associated protein 1,6500,SKP1
200712_s_at,MAPRE1,microtubule associated protein RP/EB family member 1,22919,MAPRE1
200713_s_at,MAPRE1,microtubule associated protein RP/EB family member 1,22919,MAPRE1
200714_x_at,OS9,"OS9, endoplasmic reticulum lectin",10956,OS9
200715_x_at,SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,"small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a",26819///26818///26817///26816///23521,SNORD32A
200716_x_at,RPL13AP5///SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,"ribosomal protein L13a pseudogene 5///small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a",728658///26819///26818///26817///26816///23521,RPL13AP5
200717_x_at,RPL7,ribosomal protein L7,6129,RPL7
200718_s_at,SKP1,S-phase kinase-associated protein 1,6500,SKP1
200719_at,SKP1,S-phase kinase-associated protein 1,6500,SKP1
200720_s_at,ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha",10121,ACTR1A
200721_s_at,ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha",10121,ACTR1A
200722_s_at,CAPRIN1,cell cycle associated protein 1,4076,CAPRIN1
200723_s_at,CAPRIN1,cell cycle associated protein 1,4076,CAPRIN1
200724_at,SNORA70///RPL10,"small nucleolar RNA, H/ACA box 70///ribosomal protein L10",26778///6134,SNORA70
200725_x_at,SNORA70///RPL10,"small nucleolar RNA, H/ACA box 70///ribosomal protein L10",26778///6134,SNORA70
200726_at,PPP1CC,protein phosphatase 1 catalytic subunit gamma,5501,PPP1CC
200727_s_at,ACTR2,ARP2 actin related protein 2 homolog,10097,ACTR2
200728_at,ACTR2,ARP2 actin related protein 2 homolog,10097,ACTR2
200729_s_at,ACTR2,ARP2 actin related protein 2 homolog,10097,ACTR2
200730_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1",7803,PTP4A1
200731_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1",7803,PTP4A1
200732_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1",7803,PTP4A1
200733_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1",7803,PTP4A1
200734_s_at,ARF3,ADP ribosylation factor 3,377,ARF3
200735_x_at,NACA,nascent polypeptide-associated complex alpha subunit,4666,NACA
200736_s_at,GPX1,glutathione peroxidase 1,2876,GPX1
200737_at,PGK1,phosphoglycerate kinase 1,5230,PGK1
200738_s_at,PGK1,phosphoglycerate kinase 1,5230,PGK1
200739_s_at,SUMO3,small ubiquitin-like modifier 3,6612,SUMO3
200740_s_at,SUMO3,small ubiquitin-like modifier 3,6612,SUMO3
200741_s_at,RPS27,ribosomal protein S27,6232,RPS27
200742_s_at,TPP1,tripeptidyl peptidase 1,1200,TPP1
200743_s_at,TPP1,tripeptidyl peptidase 1,1200,TPP1
200744_s_at,GNB1,G protein subunit beta 1,2782,GNB1
200745_s_at,GNB1,G protein subunit beta 1,2782,GNB1
200746_s_at,GNB1,G protein subunit beta 1,2782,GNB1
200747_s_at,NUMA1,nuclear mitotic apparatus protein 1,4926,NUMA1
200748_s_at,FTH1,ferritin heavy chain 1,2495,FTH1
200749_at,RAN,"RAN, member RAS oncogene family",5901,RAN
200750_s_at,RAN,"RAN, member RAS oncogene family",5901,RAN
200751_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),3183,HNRNPC
200752_s_at,CAPN1,calpain 1,823,CAPN1
200753_x_at,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2,693221///6427,MIR636
200754_x_at,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2,693221///6427,MIR636
200755_s_at,CALU,calumenin,813,CALU
200756_x_at,CALU,calumenin,813,CALU
200757_s_at,CALU,calumenin,813,CALU
200758_s_at,NFE2L1,"nuclear factor, erythroid 2 like 1",4779,NFE2L1
200759_x_at,NFE2L1,"nuclear factor, erythroid 2 like 1",4779,NFE2L1
200760_s_at,ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,10550,ARL6IP5
200761_s_at,ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,10550,ARL6IP5
200762_at,DPYSL2,dihydropyrimidinase like 2,1808,DPYSL2
200763_s_at,RPLP1,ribosomal protein lateral stalk subunit P1,6176,RPLP1
200764_s_at,CTNNA1,catenin alpha 1,1495,CTNNA1
200765_x_at,CTNNA1,catenin alpha 1,1495,CTNNA1
200766_at,CTSD,cathepsin D,1509,CTSD
200767_s_at,FAM120A,family with sequence similarity 120A,23196,FAM120A
200768_s_at,MAT2A,methionine adenosyltransferase 2A,4144,MAT2A
200769_s_at,MAT2A,methionine adenosyltransferase 2A,4144,MAT2A
200770_s_at,LAMC1,laminin subunit gamma 1,3915,LAMC1
200771_at,LAMC1,laminin subunit gamma 1,3915,LAMC1
200772_x_at,LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA,"prothymosin alpha///microRNA 1244-2///microRNA 1244-3///microRNA 1244-1///prothymosin alpha-like///prothymosin, alpha",100506248///100422885///100422872///100302285///728026///5757,LOC100506248
200773_x_at,PTMA,"prothymosin, alpha",5757,PTMA
200774_at,FAM120A,family with sequence similarity 120A,23196,FAM120A
200775_s_at,HNRNPK,heterogeneous nuclear ribonucleoprotein K,3190,HNRNPK
200776_s_at,BZW1,basic leucine zipper and W2 domains 1,9689,BZW1
200777_s_at,BZW1,basic leucine zipper and W2 domains 1,9689,BZW1
200778_s_at,SEPT2,septin 2,4735,SEPT2
200779_at,ATF4,activating transcription factor 4,468,ATF4
200780_x_at,GNAS,GNAS complex locus,2778,GNAS
200781_s_at,RPS15A,ribosomal protein S15a,6210,RPS15A
200782_at,ANXA5,annexin A5,308,ANXA5
200783_s_at,STMN1,stathmin 1,3925,STMN1
200784_s_at,LRP1,LDL receptor related protein 1,4035,LRP1
200785_s_at,LRP1,LDL receptor related protein 1,4035,LRP1
200786_at,PSMB7,proteasome subunit beta 7,5695,PSMB7
200787_s_at,PEA15,phosphoprotein enriched in astrocytes 15,8682,PEA15
200788_s_at,PEA15,phosphoprotein enriched in astrocytes 15,8682,PEA15
200789_at,ECH1,enoyl-CoA hydratase 1,1891,ECH1
200790_at,ODC1,ornithine decarboxylase 1,4953,ODC1
200791_s_at,IQGAP1,IQ motif containing GTPase activating protein 1,8826,IQGAP1
200792_at,XRCC6,X-ray repair cross complementing 6,2547,XRCC6
200793_s_at,ACO2,aconitase 2,50,ACO2
200794_x_at,DAZAP2,DAZ associated protein 2,9802,DAZAP2
200795_at,SPARCL1,SPARC like 1,8404,SPARCL1
200796_s_at,MCL1,BCL2 family apoptosis regulator,4170,MCL1
200797_s_at,MCL1,BCL2 family apoptosis regulator,4170,MCL1
200798_x_at,MCL1,BCL2 family apoptosis regulator,4170,MCL1
200799_at,HSPA1B///HSPA1A,heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A,3304///3303,HSPA1B
200800_s_at,HSPA1L///HSPA1B///HSPA1A,heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A,3305///3304///3303,HSPA1L
200801_x_at,ACTB,actin beta,60,ACTB
200802_at,SARS,seryl-tRNA synthetase,6301,SARS
200803_s_at,TMBIM6,transmembrane BAX inhibitor motif containing 6,7009,TMBIM6
200804_at,TMBIM6,transmembrane BAX inhibitor motif containing 6,7009,TMBIM6
200805_at,LMAN2,"lectin, mannose binding 2",10960,LMAN2
200806_s_at,HSPD1,heat shock protein family D (Hsp60) member 1,3329,HSPD1
200807_s_at,HSPD1,heat shock protein family D (Hsp60) member 1,3329,HSPD1
200808_s_at,ZYX,zyxin,7791,ZYX
200809_x_at,RPL12,ribosomal protein L12,6136,RPL12
200810_s_at,CIRBP,cold inducible RNA binding protein,1153,CIRBP
200811_at,CIRBP,cold inducible RNA binding protein,1153,CIRBP
200812_at,CCT7,chaperonin containing TCP1 subunit 7,10574,CCT7
200813_s_at,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,5048,PAFAH1B1
